ts_utc,missing_book_flag,best_bid,best_ask,mid,spread,bid_px_01,bid_sz_01,bid_px_02,bid_sz_02,bid_px_03,bid_sz_03,bid_px_04,bid_sz_04,bid_px_05,bid_sz_05,bid_px_06,bid_sz_06,bid_px_07,bid_sz_07,bid_px_08,bid_sz_08,bid_px_09,bid_sz_09,bid_px_10,bid_sz_10,bid_px_11,bid_sz_11,bid_px_12,bid_sz_12,bid_px_13,bid_sz_13,bid_px_14,bid_sz_14,bid_px_15,bid_sz_15,bid_px_16,bid_sz_16,bid_px_17,bid_sz_17,bid_px_18,bid_sz_18,bid_px_19,bid_sz_19,bid_px_20,bid_sz_20,ask_px_01,ask_sz_01,ask_px_02,ask_sz_02,ask_px_03,ask_sz_03,ask_px_04,ask_sz_04,ask_px_05,ask_sz_05,ask_px_06,ask_sz_06,ask_px_07,ask_sz_07,ask_px_08,ask_sz_08,ask_px_09,ask_sz_09,ask_px_10,ask_sz_10,ask_px_11,ask_sz_11,ask_px_12,ask_sz_12,ask_px_13,ask_sz_13,ask_px_14,ask_sz_14,ask_px_15,ask_sz_15,ask_px_16,ask_sz_16,ask_px_17,ask_sz_17,ask_px_18,ask_sz_18,ask_px_19,ask_sz_19,ask_px_20,ask_sz_20,bid_depth_bp_0_5,ask_depth_bp_0_5,bid_depth_bp_5_10,ask_depth_bp_5_10,bid_depth_bp_10_25,ask_depth_bp_10_25,bid_depth_bp_25_50,ask_depth_bp_25_50,bid_depth_bp_50_100,ask_depth_bp_50_100,bid_depth_bp_100_200,ask_depth_bp_100_200,bucket_cf_age_s,trade_count,buy_count,sell_count,missing_trades_flag,signed_volume,abs_volume,avg_trade_size,max_trade_size,time_since_last_trade_s
1770697534000000000,0,69675.69,69675.7,69675.695,0.00999999999476131,69675.69,0.47514,69675.68,8e-05,69675.42,0.00016,69675.41,0.01519,69675.14,8e-05,69674.91,8e-05,69674.51,0.00028,69674.0,0.0012,69673.8,8e-05,69673.07,0.00016,69673.06,0.02515,69672.76,0.00016,69672.75,0.01164,69672.0,0.0012,69671.92,0.00016,69671.91,0.02083,69671.68,8e-05,69671.61,0.00019,69671.29,0.00016,69671.28,0.04843,69675.7,1.96712,69675.71,0.02439,69676.01,0.00027,69676.16,0.3586,69676.25,0.00159,69676.32,0.0015,69676.98,0.00734,69676.99,0.02091,69677.45,0.00144,69677.69,8e-05,69678.0,0.003,69678.37,0.87937,69678.38,2.23741,69678.67,8e-05,69678.86,0.47414,69679.22,0.07197,69679.33,0.00726,69679.34,0.00144,69679.36,0.0151,69679.68,0.0015,27.69881,36.338730000000005,47.87650000000001,50.48804000000002,66.56146000000001,63.187909999999995,37.56411,34.35751000000005,62.41532999999972,17.91906000000003,109.52988999999991,90.7787799999997,0,2,0,2,0,-160000.0,160000.0,80000.0,147000,0.037734686
1770697535000000000,0,69675.69,69675.7,69675.695,0.00999999999476131,69675.69,0.51502,69675.68,8e-05,69675.42,0.00016,69675.41,0.01519,69675.14,8e-05,69674.91,8e-05,69674.51,0.00028,69674.08,0.00015,69674.0,0.0012,69673.8,8e-05,69673.07,0.00016,69673.06,0.02515,69672.76,0.00016,69672.75,0.01164,69672.0,0.0012,69671.93,0.00016,69671.92,0.06689,69671.91,0.02083,69671.68,8e-05,69671.61,0.00019,69675.7,1.66617,69675.71,0.02439,69676.01,0.00027,69676.15,0.00016,69676.16,0.3586,69676.25,0.00159,69676.32,0.0015,69676.98,0.00016,69676.99,0.02091,69677.45,0.00144,69677.69,8e-05,69678.0,0.003,69678.35,0.00734,69678.36,0.00016,69678.37,0.87937,69678.38,2.23741,69678.67,8e-05,69678.86,0.47414,69679.22,0.07197,69679.34,0.00144,27.69881,36.338730000000005,47.87650000000001,50.48804000000002,66.56146000000001,63.187909999999995,37.56411,34.35751000000005,62.41532999999972,17.91906000000003,109.52988999999991,90.7787799999997,1,2,1,1,0,-2380000.0,2420000.0,1210000.0,2400000,0.416018307
1770697536000000000,0,69675.69,69675.7,69675.695,0.00999999999476131,69675.69,0.50803,69675.68,8e-05,69675.42,0.00016,69675.41,0.01519,69675.14,8e-05,69674.91,8e-05,69674.51,0.00028,69674.08,0.00015,69674.0,0.0012,69673.8,8e-05,69673.07,0.00016,69673.06,0.02515,69672.76,0.00016,69672.75,0.01164,69672.0,0.0012,69671.93,0.00016,69671.92,0.06689,69671.91,0.02083,69671.68,8e-05,69671.61,0.00019,69675.7,1.65965,69675.71,0.02439,69676.01,0.00027,69676.15,0.00016,69676.16,0.31821,69676.25,0.00159,69676.32,0.0015,69676.98,0.00016,69676.99,0.02091,69677.45,0.00144,69677.69,8e-05,69678.0,0.003,69678.35,0.00734,69678.36,0.00016,69678.37,0.87937,69678.38,2.23741,69678.67,8e-05,69678.86,0.47414,69679.34,0.00144,69679.36,0.01526,27.69881,36.338730000000005,47.87650000000001,50.48804000000002,66.56146000000001,63.187909999999995,37.56411,34.35751000000005,62.41532999999972,17.91906000000003,109.52988999999991,90.7787799999997,2,5,3,2,0,-27000.0,1371000.0,274200.0,632000,0.028118659
1770697537000000000,0,69675.69,69675.7,69675.695,0.00999999999476131,69675.69,0.50816,69675.68,8e-05,69675.42,0.00016,69675.41,0.01519,69675.14,8e-05,69674.91,8e-05,69674.51,0.00028,69674.08,0.00015,69674.0,0.0012,69673.8,8e-05,69673.07,0.00016,69673.06,0.02515,69672.76,0.00016,69672.75,0.01164,69672.68,0.00016,69672.67,0.02085,69672.0,0.0012,69671.93,0.00016,69671.92,0.06673,69671.91,0.02083,69675.7,1.65894,69675.71,0.02439,69675.73,0.00016,69675.74,0.02112,69676.15,0.00016,69676.16,0.31804,69676.25,0.00159,69676.32,0.0015,69676.98,0.00016,69676.99,0.02091,69677.45,0.00144,69677.69,8e-05,69678.0,0.003,69678.35,0.00734,69678.37,0.87937,69678.38,2.23741,69678.67,8e-05,69678.86,0.47414,69679.34,0.00144,69679.36,0.01518,27.69881,36.338730000000005,47.87650000000001,50.48804000000002,66.56146000000001,63.187909999999995,37.56411,34.35751000000005,62.41532999999972,17.91906000000003,109.52988999999991,90.7787799999997,3,3,3,0,0,60000.0,60000.0,20000.0,20000,0.263574891
1770697538000000000,0,69675.69,69675.7,69675.695,0.00999999999476131,69675.69,0.44415,69675.68,8e-05,69675.42,0.00016,69675.41,0.01519,69675.14,8e-05,69674.91,8e-05,69674.51,0.00028,69674.08,0.00015,69674.0,0.0012,69673.8,8e-05,69673.07,0.00016,69673.06,0.02515,69672.76,0.00016,69672.75,0.01164,69672.68,0.00016,69672.67,0.02085,69672.0,0.0012,69671.93,0.00016,69671.92,0.06673,69671.91,0.02083,69675.7,1.65894,69675.71,0.02439,69675.73,0.00016,69675.74,0.02112,69676.15,0.00016,69676.16,0.31804,69676.25,0.00159,69676.32,0.0015,69676.98,0.00016,69676.99,0.02091,69677.45,0.00144,69677.69,8e-05,69678.0,0.003,69678.35,0.00734,69678.37,0.87937,69678.38,2.23741,69678.67,8e-05,69678.86,0.47414,69679.34,0.00144,69679.36,0.01518,27.69881,36.338730000000005,47.87650000000001,50.48804000000002,66.56146000000001,63.187909999999995,37.56411,34.35751000000005,62.41532999999972,17.91906000000003,109.52988999999991,90.7787799999997,4,1,0,1,0,-63000.0,63000.0,63000.0,63000,0.054863528
1770697539000000000,0,69675.69,69675.7,69675.695,0.00999999999476131,69675.69,0.42844,69675.68,8e-05,69675.42,0.00016,69675.41,0.01519,69675.14,8e-05,69674.91,8e-05,69674.51,0.00028,69674.08,0.00015,69674.0,0.0012,69673.8,8e-05,69673.07,0.00016,69673.06,0.02515,69672.76,0.00016,69672.75,0.01164,69672.68,0.00016,69672.67,0.02085,69672.0,0.0012,69671.93,0.00016,69671.92,0.06673,69671.91,0.02083,69675.7,1.6549,69675.71,0.02439,69675.73,0.00016,69675.74,0.02112,69676.15,0.00016,69676.16,0.31804,69676.25,0.00159,69676.32,0.0015,69676.98,0.00016,69676.99,0.02091,69677.45,0.00144,69677.69,8e-05,69678.0,0.003,69678.35,0.00734,69678.37,0.87937,69678.38,2.23741,69678.67,8e-05,69678.86,0.47414,69679.34,0.00144,69679.36,0.01518,28.31686,37.03245999999998,47.385780000000004,50.165860000000016,66.09213000000001,63.21909999999999,36.16864000000001,34.23857000000005,62.41532999999972,15.97903000000003,109.52988999999991,90.7815999999997,0,5,4,1,0,-1325000.0,2133000.0,426600.0,1729000,0.186452326
1770697540000000000,0,69675.69,69675.7,69675.695,0.00999999999476131,69675.69,0.4262,69675.68,8e-05,69675.42,0.00016,69675.41,0.01519,69675.14,8e-05,69674.91,8e-05,69674.51,0.00028,69674.08,0.00015,69674.0,0.0012,69673.8,8e-05,69673.07,0.00016,69673.06,0.02515,69672.76,0.00016,69672.75,0.01164,69672.68,0.07418,69672.67,0.02085,69672.0,0.0012,69671.92,8e-05,69671.91,0.02083,69671.68,8e-05,69675.7,1.65441,69675.71,0.02439,69675.73,0.00016,69675.74,0.02112,69676.15,0.00016,69676.16,0.31804,69676.25,0.00159,69676.32,0.0015,69676.98,0.00016,69676.99,0.02091,69677.45,0.00144,69677.69,8e-05,69678.0,0.003,69678.35,0.00734,69678.36,8e-05,69678.37,0.87937,69678.38,2.23741,69678.67,8e-05,69678.86,0.47414,69679.34,0.00144,28.31686,37.03245999999998,47.385780000000004,50.165860000000016,66.09213000000001,63.21909999999999,36.16864000000001,34.23857000000005,62.41532999999972,15.97903000000003,109.52988999999991,90.7815999999997,1,2,2,0,0,49000.0,49000.0,24500.0,25000,0.968582656
1770697541000000000,0,69675.69,69675.7,69675.695,0.00999999999476131,69675.69,0.28326,69675.68,8e-05,69675.42,0.00016,69675.41,0.01519,69675.14,8e-05,69674.91,8e-05,69674.51,0.00028,69674.08,0.00015,69674.0,0.0012,69673.8,8e-05,69673.07,0.00016,69673.06,0.02515,69672.76,0.00016,69672.75,0.01164,69672.68,0.00016,69672.67,0.02085,69672.0,0.0012,69671.92,8e-05,69671.91,0.02083,69671.68,8e-05,69675.7,1.65803,69675.71,0.02439,69675.73,0.00016,69675.74,0.02112,69676.15,0.00016,69676.16,0.31804,69676.25,0.00159,69676.32,0.0015,69676.99,0.02091,69677.45,0.00144,69677.69,8e-05,69678.0,0.003,69678.35,0.00734,69678.37,0.87937,69678.38,2.23741,69678.67,8e-05,69678.83,0.02092,69678.86,0.47406,69679.34,0.00144,69679.36,0.0151,28.31686,37.03245999999998,47.385780000000004,50.165860000000016,66.09213000000001,63.21909999999999,36.16864000000001,34.23857000000005,62.41532999999972,15.97903000000003,109.52988999999991,90.7815999999997,2,2,1,1,0,-14339000.0,14379000.0,7189500.0,14359000,0.51803654
1770697542000000000,0,69675.69,69675.7,69675.695,0.00999999999476131,69675.69,0.2779,69675.68,8e-05,69675.42,0.00016,69675.41,0.01519,69675.14,8e-05,69674.91,8e-05,69674.51,0.00028,69674.08,0.00015,69674.0,0.0012,69673.8,8e-05,69673.07,0.00016,69673.06,0.02515,69672.81,0.00016,69672.8,0.0059,69672.55,0.00016,69672.54,0.0059,69672.0,0.0012,69671.97,8e-05,69671.96,0.02085,69671.68,8e-05,69675.7,1.66942,69675.71,0.02439,69675.73,0.00016,69675.74,0.02112,69676.15,0.00016,69676.16,0.30656,69676.25,0.00159,69676.32,0.0015,69676.98,0.00016,69676.99,0.02091,69677.45,0.00144,69677.69,8e-05,69678.0,0.003,69678.35,0.00734,69678.36,8e-05,69678.37,0.87937,69678.38,2.23741,69678.67,8e-05,69678.83,0.02092,69678.86,0.47406,28.31686,37.03245999999998,47.385780000000004,50.165860000000016,66.09213000000001,63.21909999999999,36.16864000000001,34.23857000000005,62.41532999999972,15.97903000000003,109.52988999999991,90.7815999999997,3,2,1,1,0,-2380000.0,2420000.0,1210000.0,2400000,0.541025023
1770697543000000000,0,69675.69,69675.7,69675.695,0.00999999999476131,69675.69,0.93038,69675.68,8e-05,69675.41,0.01519,69675.14,8e-05,69675.03,0.01148,69674.91,8e-05,69674.7,0.01109,69674.64,0.0015,69674.51,0.00028,69674.5,0.0015,69674.2,0.02069,69674.08,0.00015,69674.0,0.0012,69673.8,8e-05,69673.63,0.15204,69673.62,0.04587,69673.61,0.15366,69673.06,0.02515,69672.96,0.0015,69672.76,0.00016,69675.7,0.34949,69675.71,0.02439,69675.74,0.00027,69676.15,0.00016,69676.16,0.1645,69676.25,9e-05,69676.96,0.00016,69676.97,0.05,69676.99,8e-05,69677.28,9e-05,69677.69,8e-05,69678.27,0.00016,69678.28,0.01148,69678.67,8e-05,69679.33,0.00016,69679.34,0.00144,69679.35,0.00016,69679.36,0.01526,69679.6,0.00016,69679.68,0.0015,28.31686,37.03245999999998,47.385780000000004,50.165860000000016,66.09213000000001,63.21909999999999,36.16864000000001,34.23857000000005,62.41532999999972,15.97903000000003,109.52988999999991,90.7815999999997,4,3,3,0,0,60000.0,60000.0,20000.0,20000,0.280415256
